Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
360ONE,1248.8,594778.3,1249.65,15:25:53
3MINDIA,29245.0,3718.57,29303.44,15:25:53
AADHARHFC,455.1,190824.6,455.12,15:25:53
AARTIIND,465.15,230934.2,470.6,15:25:53
AAVAS,1884.9,44936.34,1892.96,15:25:53
ABB,5849.0,44815.95,5828.31,15:25:53
ABBOTINDIA,34410.0,2770.3,34675.53,15:25:53
ABCAPITAL,275.9,2233308.83,276.22,15:25:53
ABFRL,77.97,3316049.63,78.06,15:25:56
ABREL,2273.1,87339.0,2288.24,15:25:56
ABSLAMC,813.5,206377.0,813.48,15:25:56
ACC,1964.0,265335.0,1964.21,15:25:56
ACE,1193.6,73424.0,1193.74,15:20:19
ACMESOLAR,255.5,0.0,255.5,15:03:21
ADANIENSOL,884.15,0.0,884.15,15:03:21
ADANIENT,2575.4,297180.0,2576.59,15:20:19
ADANIGREEN,990.9,464437.04,992.28,15:25:56
ADANIPORTS,1437.4,324865.71,1428.81,15:25:56
ADANIPOWER,599.1,1661352.37,588.66,15:25:56
AEGISLOG,758.2,207116.89,756.15,15:25:56
AFCONS,424.0,229246.95,423.78,15:25:56
AFFLE,1982.3,169309.87,1994.56,15:25:56
AIAENG,3358.0,35096.27,3336.81,15:25:56
AIIL,2670.0,97208.58,2661.0,15:25:56
AJANTPHARM,2654.7,65446.73,2660.91,15:25:59
AKUMS,568.6,135967.62,569.99,15:25:59
ALIVUS,1022.6,16900.0,1023.06,15:25:59
ALKEM,4879.7,13562.0,4878.04,15:25:59
ALKYLAMINE,2394.1,0.0,2394.1,15:25:59
ALOKINDS,20.15,2291695.0,20.16,15:14:43
AMBER,7444.5,0.0,7444.5,15:14:43
AMBUJACEM,590.1,907462.25,589.59,14:06:13
ANANDRATHI,2100.5,18778.03,2101.99,15:25:59
ANANTRAJ,543.4,327115.9,545.07,15:25:59
ANGELONE,2788.2,932307.82,2788.41,15:25:59
APARINDS,8532.0,21943.02,8581.65,15:25:59
APLAPOLLO,1733.1,131420.69,1730.32,15:25:59
APLLTD,1002.5,73314.83,1003.07,15:25:59
APOLLOHOSP,7617.0,213214.67,7600.48,15:25:59
APOLLOTYRE,460.75,228609.61,459.16,15:25:59
APTUS,327.6,643296.7,326.26,15:26:02
ARE&M,964.15,369194.79,964.02,15:26:02
ASAHIINDIA,814.85,165016.29,816.91,15:26:02
ASHOKLEY,249.95,748193.5,249.68,15:26:02
ASIANPAINT,2447.0,0.0,2447.0,15:26:02
ASTERDM,621.6,0.0,621.6,15:26:02
ASTRAL,1485.5,146279.0,1483.93,14:11:56
ASTRAZEN,9112.0,8708.83,9132.16,14:06:17
ATGL,656.25,231453.03,657.52,15:26:03
ATUL,7666.5,22725.37,7712.33,15:26:02
AUBANK,814.1,978310.15,817.03,15:26:02
AUROPHARMA,1182.4,401394.61,1183.78,15:26:03
AWL,257.1,564500.48,256.81,15:26:03
AXISBANK,1175.1,2091903.43,1175.11,15:26:03
BAJAJ-AUTO,8463.0,51185.08,8455.73,15:26:03
BAJAJFINSV,2007.5,399305.49,2004.44,15:26:03
BAJAJHFL,121.03,2803019.17,121.02,15:26:03
BAJAJHLDNG,14336.0,9654.74,14240.29,15:26:06
BAJFINANCE,926.15,1279165.9,924.37,15:26:06
BALKRISIND,2600.4,41453.0,2604.47,15:20:29
BALRAMCHIN,605.0,147640.0,603.99,15:20:29
BANDHANBNK,177.51,0.0,177.51,15:14:49
BANKBARODA,240.99,6765173.0,241.1,15:14:49
BANKINDIA,117.9,6770337.0,118.14,15:09:10
BASF,5115.5,6326.44,5114.62,14:52:14
BATAINDIA,1225.9,83341.56,1236.4,15:26:06
BAYERCROP,6436.5,15985.58,6464.86,15:26:06
BBTC,1989.7,20460.76,1985.37,15:26:06
BDL,1941.0,945783.14,1949.23,15:26:06
BEL,417.05,12204068.86,418.63,15:26:06
BEML,4570.0,446226.05,4585.88,15:26:06
BERGEPAINT,584.8,160929.23,588.46,15:26:06
BHARATFORG,1304.3,205813.76,1306.41,15:26:06
BHARTIARTL,2035.1,1611801.72,2023.74,15:26:09
BHARTIHEXA,1838.4,109374.09,1845.35,15:20:32
BHEL,256.45,1754594.67,256.35,15:26:09
BIKAJI,730.95,15663.0,730.7,15:26:09
BIOCON,372.2,584672.0,372.08,15:26:09
BLS,377.85,5915432.5,378.17,15:14:52
BLUEDART,6700.0,5494.62,6689.2,15:14:52
BLUESTARCO,1820.5,364823.86,1817.27,15:03:34
BOSCHLTD,36010.0,51289.46,36069.11,15:26:09
BPCL,351.35,4580025.18,349.0,15:26:09
BRIGADE,1090.7,74660.54,1086.59,15:26:09
BRITANNIA,5898.0,86080.69,5843.11,15:26:09
BSE,2635.7,2823027.11,2652.63,15:26:09
BSOFT,432.7,695651.48,434.01,15:26:09
CAMPUS,272.35,224272.91,272.68,15:26:09
CAMS,4138.4,159697.97,4157.87,15:26:09
CANBK,114.21,8183407.0,114.77,15:26:12
CANFINHOME,821.05,64810.73,819.18,15:26:12
CAPLIPOINT,2050.0,32407.38,2034.63,15:26:12
CARBORUNIV,985.0,58662.4,982.37,15:26:12
CASTROLIND,222.01,639294.0,222.4,15:20:35
CCL,892.45,70446.83,891.25,15:09:16
CDSL,1779.7,1907475.22,1781.98,14:52:21
CEATLTD,3672.4,42607.18,3625.98,15:20:35
CENTRALBK,39.32,2470053.62,39.42,15:26:12
CENTURYPLY,735.2,16228.49,734.75,15:26:12
CERA,6730.5,6478.55,6700.75,15:26:12
CESC,180.33,2242645.71,181.02,15:26:12
CGCL,165.09,821662.61,165.6,15:26:12
CGPOWER,681.0,992939.97,679.31,15:26:12
CHALET,873.45,45491.78,878.4,15:26:12
CHAMBLFERT,557.95,308719.78,557.2,15:26:12
CHENNPETRO,738.25,2264141.92,745.74,15:26:12
CHOLAFIN,1515.0,1130935.0,1513.78,15:26:15
CHOLAHLDNG,2071.6,34091.43,2064.9,15:26:15
CIPLA,1508.8,179894.4,1509.72,15:26:15
CLEAN,1466.5,7158.5,1467.61,15:26:15
COALINDIA,384.1,1073140.0,384.34,15:09:19
COCHINSHIP,2049.7,973372.12,2052.31,14:52:24
COFORGE,1940.2,543285.8,1948.31,15:20:39
COHANCE,1021.55,82264.4,1016.83,15:20:39
COLPAL,2462.3,255413.85,2472.93,15:26:15
CONCOR,597.25,896153.92,593.89,15:26:15
CONCORDBIO,1759.5,188028.44,1773.36,15:26:15
COROMANDEL,2264.9,144214.97,2253.58,15:26:15
CRAFTSMAN,5875.0,33136.8,5873.51,15:26:15
CREDITACC,1282.0,272472.22,1276.49,15:26:15
CRISIL,5762.5,16666.7,5790.2,15:26:15
CROMPTON,351.3,520310.89,352.22,15:26:15
CUB,218.51,716576.29,218.12,15:26:15
CUMMINSIND,3438.1,215694.4,3411.19,15:26:15
CYIENT,1296.1,51159.2,1293.41,15:26:18
DABUR,512.65,5495837.5,512.61,15:26:18
