Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
360ONE,1241.0,1239105.5,1241.46,15:29:51
3MINDIA,28900.0,6308.36,29018.59,15:29:51
AADHARHFC,459.5,173248.36,458.25,15:29:51
AARTIIND,475.4,571038.71,475.94,15:29:51
AAVAS,1909.0,123401.29,1907.62,15:29:51
ABB,5861.5,132080.17,5857.69,15:29:51
ABBOTINDIA,34780.0,7777.38,34760.65,15:29:51
ABCAPITAL,274.75,2549333.86,275.19,15:29:51
ABFRL,78.14,14276863.2,78.14,15:29:54
ABREL,2300.0,56432.0,2303.05,15:29:54
ABSLAMC,805.0,0.0,805.0,15:29:54
ACC,1963.7,0.0,1963.7,15:29:54
ACE,1189.5,0.0,1189.5,15:29:54
ACMESOLAR,249.8,0.0,249.8,15:29:54
ADANIENSOL,0.0,0.0,0.0,Never
ADANIENT,2600.4,322623.0,2600.4,15:07:22
ADANIGREEN,998.1,1408749.33,996.68,15:29:54
ADANIPORTS,1425.5,515395.64,1423.52,15:29:54
ADANIPOWER,584.0,1787291.71,583.86,15:29:54
AEGISLOG,754.0,349784.79,752.25,15:29:54
AFCONS,428.8,657462.69,428.65,15:29:54
AFFLE,2014.0,274314.43,2012.34,15:29:54
AIAENG,3305.5,18036.69,3309.11,15:29:54
AIIL,2581.9,114675.73,2556.49,15:29:54
AJANTPHARM,2705.0,177255.1,2691.55,15:29:54
AKUMS,580.0,90836.2,575.88,15:29:54
ALIVUS,1036.4,0.0,1036.4,15:29:57
ALKEM,4880.0,0.0,4880.0,15:29:57
ALKYLAMINE,2294.7,0.0,2294.7,15:29:57
ALOKINDS,20.19,0.0,20.19,15:01:47
AMBER,0.0,0.0,0.0,Never
AMBUJACEM,596.55,2652321.5,596.45,15:13:04
ANANDRATHI,2109.9,68088.8,2108.21,15:18:43
ANANTRAJ,546.85,736514.73,545.23,15:24:21
ANGELONE,2773.5,2514408.0,2766.98,15:29:57
APARINDS,8640.0,68404.21,8613.1,15:29:57
APLAPOLLO,1730.0,509220.43,1719.46,15:29:57
APLLTD,996.2,91267.08,997.91,15:29:57
APOLLOHOSP,7560.0,309006.31,7555.09,15:29:57
APOLLOTYRE,459.2,478421.67,458.86,15:29:57
APTUS,322.0,679290.2,320.18,15:29:57
ARE&M,970.0,623935.4,968.33,15:29:57
ASAHIINDIA,843.15,948674.5,846.31,15:30:00
ASHOKLEY,249.7,3642210.0,249.7,15:29:57
ASIANPAINT,2428.0,0.0,2428.0,15:30:00
ASTERDM,633.45,0.0,633.45,15:24:24
