symbol,stock_name,market_cap_type,category,threshold%,days_check,sector,business_domain,volatility_category,avg_daily_volume_category,,,comments
COALINDIA,,Large_Cap,A,200,1,,,,,,,
COCHINSHIP,,Mid_Cap,B,400,1,,,,,,,
COFORGE,,Mid_Cap,A,400,1,,,,,,,
COHANCE,,Small_Cap,A,500,1,,,,,,,
COLPAL,,Mid_Cap,A,400,1,,,,,,,
CONCOR,,Mid_Cap,A,400,1,,,,,,,
CONCORDBIO,,Small_Cap,A,500,1,,,,,,,
COROMANDEL,,Mid_Cap,B,400,1,,,,,,,
CRAFTSMAN,,Small_Cap,A,500,1,,,,,,,
CREDITACC,,Small_Cap,A,500,1,,,,,,,
CRISIL,,Mid_Cap,B,400,1,,,,,,,
CROMPTON,,Small_Cap,A,500,1,,,,,,,
CUB,,Small_Cap,A,500,1,,,,,,,
CUMMINSIND,,Mid_Cap,A,400,1,,,,,,,
CYIENT,,Small_Cap,A,500,1,,,,,,,
DABUR,,Large_Cap,B,300,1,,,,,,,
DALBHARAT,,Mid_Cap,B,400,1,,,,,,,
DATAPATTNS,,Small_Cap,A,500,1,,,,,,,
DBREALTY,,Small_Cap,A,500,1,,,,,,,
DCMSHRIRAM,,Small_Cap,A,500,1,,,,,,,
DEEPAKFERT,,Small_Cap,A,500,1,,,,,,,
DEEPAKNTR,,Mid_Cap,B,400,1,,,,,,,
DELHIVERY,,Small_Cap,A,500,1,,,,,,,
DEVYANI,,Small_Cap,A,500,1,,,,,,,
DIVISLAB,,Large_Cap,B,300,1,,,,,,,
DIXON,,Mid_Cap,A,400,1,,,,,,,
DLF,,Large_Cap,B,300,1,,,,,,,
DMART,,Large_Cap,B,300,1,,,,,,,
DOMS,,Small_Cap,A,500,1,,,,,,,
DRREDDY,,Large_Cap,A,200,1,,,,,,,
ECLERX,,Small_Cap,A,500,1,,,,,,,
EICHERMOT,,Large_Cap,A,200,1,,,,,,,
EIDPARRY,,Small_Cap,A,500,1,,,,,,,
EIHOTEL,,Small_Cap,A,500,1,,,,,,,
ELECON,,Small_Cap,A,500,1,,,,,,,
ELGIEQUIP,,Small_Cap,A,500,1,,,,,,,
EMAMILTD,,Mid_Cap,B,400,1,,,,,,,
EMCURE,,Small_Cap,A,500,1,,,,,,,
ENDURANCE,,Mid_Cap,B,400,1,,,,,,,
ENGINERSIN,,Small_Cap,A,500,1,,,,,,,
ERIS,,Small_Cap,A,500,1,,,,,,,
ESCORTS,,Mid_Cap,B,400,1,,,,,,,
ETERNAL,,Large_Cap,A,200,1,,,,,,,
EXIDEIND,,Mid_Cap,B,400,1,,,,,,,
FACT,,Small_Cap,A,500,1,,,,,,,
FEDERALBNK,,Mid_Cap,A,400,1,,,,,,,
FINCABLES,,Small_Cap,A,500,1,,,,,,,
FINPIPE,,Small_Cap,A,500,1,,,,,,,
FIRSTCRY,,Small_Cap,A,500,1,,,,,,,
FIVESTAR,,Small_Cap,A,500,1,,,,,,,
FLUOROCHEM,,Mid_Cap,B,400,1,,,,,,,
FORTIS,,Mid_Cap,B,400,1,,,,,,,
FSL,,Small_Cap,A,500,1,,,,,,,
GAIL,,Large_Cap,B,300,1,,,,,,,
GESHIP,,Small_Cap,A,500,1,,,,,,,
GICRE,,Mid_Cap,B,400,1,,,,,,,
GILLETTE,,Small_Cap,A,500,1,,,,,,,
GLAND,,Mid_Cap,B,400,1,,,,,,,
GLAXO,,Mid_Cap,B,400,1,,,,,,,
GLENMARK,,Mid_Cap,B,400,1,,,,,,,
GMDCLTD,,Small_Cap,A,500,1,,,,,,,
GMRAIRPORT,,Mid_Cap,A,400,1,,,,,,,
GNFC,,Small_Cap,A,500,1,,,,,,,
GODFRYPHLP,,Small_Cap,A,500,1,,,,,,,
GODIGIT,,Small_Cap,A,500,1,,,,,,,
GODREJAGRO,,Small_Cap,A,500,1,,,,,,,
GODREJCP,,Large_Cap,B,300,1,,,,,,,
GODREJIND,,Mid_Cap,B,400,1,,,,,,,
GODREJPROP,,Mid_Cap,A,400,1,,,,,,,
GPIL,,Small_Cap,A,500,1,,,,,,,
GPPL,,Small_Cap,A,500,1,,,,,,,
GRANULES,,Small_Cap,A,500,1,,,,,,,
GRAPHITE,,Small_Cap,A,500,1,,,,,,,
GRASIM,,Large_Cap,A,200,1,,,,,,,
GRAVITA,,Small_Cap,A,500,1,,,,,,,
GRSE,,Small_Cap,A,500,1,,,,,,,
GSPL,,Small_Cap,A,500,1,,,,,,,
GUJGASLTD,,Mid_Cap,B,400,1,,,,,,,
GVT&D,,Mid_Cap,B,400,1,,,,,,,
HAL,,Large_Cap,B,300,1,,,,,,,
HAPPSTMNDS,,Small_Cap,A,500,1,,,,,,,
HAVELLS,,Large_Cap,B,300,1,,,,,,,
HBLENGINE,,Small_Cap,A,500,1,,,,,,,
HCLTECH,,Large_Cap,A,200,1,,,,,,,
HDFCAMC,,Mid_Cap,A,400,1,,,,,,,
HDFCBANK,,Large_Cap,A,200,1,,,,,,,
HDFCLIFE,,Large_Cap,A,200,1,,,,,,,
HEG,,Small_Cap,A,500,1,,,,,,,
HEROMOTOCO,,Large_Cap,A,200,1,,,,,,,
HFCL,,Small_Cap,A,500,1,,,,,,,
HINDALCO,,Large_Cap,A,200,1,,,,,,,
HINDCOPPER,,Small_Cap,A,500,1,,,,,,,
HINDPETRO,,Mid_Cap,A,400,1,,,,,,,
HINDUNILVR,,Large_Cap,A,200,1,,,,,,,
HINDZINC,,Mid_Cap,B,400,1,,,,,,,
HOMEFIRST,,Small_Cap,A,500,1,,,,,,,
HONASA,,Small_Cap,A,500,1,,,,,,,
HONAUT,,Mid_Cap,B,400,1,,,,,,,
HSCL,,Small_Cap,A,500,1,,,,,,,
HUDCO,,Mid_Cap,B,400,1,,,,,,,
HYUNDAI,,Large_Cap,B,300,1,,,,,,,
ICICIBANK,,Large_Cap,A,200,1,,,,,,,
ICICIGI,,Large_Cap,B,300,1,,,,,,,
ICICIPRULI,,Large_Cap,B,300,1,,,,,,,
IDBI,,Small_Cap,A,500,1,,,,,,,
IDEA,,Mid_Cap,A,400,1,,,,,,,
IDFCFIRSTB,,Mid_Cap,A,400,1,,,,,,,
IEX,,Small_Cap,A,500,1,,,,,,,
IFCI,,Small_Cap,A,500,1,,,,,,,
IGIL,,Small_Cap,A,500,1,,,,,,,
IGL,,Mid_Cap,B,400,1,,,,,,,
IIFL,,Small_Cap,A,500,1,,,,,,,
IKS,,Small_Cap,A,500,1,,,,,,,
INDGN,,Small_Cap,A,500,1,,,,,,,
INDHOTEL,,Large_Cap,B,300,1,,,,,,,
INDIACEM,,Small_Cap,A,500,1,,,,,,,
INDIAMART,,Small_Cap,A,500,1,,,,,,,
INDIANB,,Mid_Cap,B,400,1,,,,,,,
INDIGO,,Large_Cap,B,300,1,,,,,,,
INDUSINDBK,,Large_Cap,A,200,1,,,,,,,
INDUSTOWER,,Mid_Cap,A,400,1,,,,,,,
INFY,,Large_Cap,A,200,1,,,,,,,
INOXINDIA,,Small_Cap,A,500,1,,,,,,,
INOXWIND,,Small_Cap,A,500,1,,,,,,,
INTELLECT,,Small_Cap,A,500,1,,,,,,,
IOB,,Small_Cap,A,500,1,,,,,,,
IOC,,Large_Cap,B,300,1,,,,,,,
IPCALAB,,Mid_Cap,B,400,1,,,,,,,
IRB,,Mid_Cap,B,400,1,,,,,,,
IRCON,,Small_Cap,A,500,1,,,,,,,
IRCTC,,Mid_Cap,A,400,1,,,,,,,
IREDA,,Mid_Cap,B,400,1,,,,,,,
IRFC,,Large_Cap,B,300,1,,,,,,,
ITC,,Large_Cap,A,200,1,,,,,,,
ITI,,Small_Cap,A,500,1,,,,,,,
J&KBANK,,Small_Cap,A,500,1,,,,,,,
JBCHEPHARM,,Small_Cap,A,500,1,,,,,,,
JBMA,,Small_Cap,A,500,1,,,,,,,
JINDALSAW,,Small_Cap,A,500,1,,,,,,,
JINDALSTEL,,Large_Cap,B,300,1,,,,,,,
JIOFIN,,Large_Cap,A,200,1,,,,,,,
JKCEMENT,,Mid_Cap,B,400,1,,,,,,,
JKTYRE,,Small_Cap,A,500,1,,,,,,,
